Asset,Sector,Expected_Return,Previous_Position,Transaction_Cost,0Market_Cap (billions)
ASSET_000,ENERGY,0.589596317257502,1,0.0141923225999029,6.62527236249627
ASSET_001,CONS,-0.350548878174917,1,0.0299428319802284,4.53308361670961
ASSET_002,HEALTH,0.765114096948518,1,0.0254048047961,5.64632839708799
ASSET_003,CONS,0.386559457364709,0,0.0446328066088942,35.3455299282337
ASSET_004,CONS,0.00676352471772226,1,0.0290387092404662,3.10847907409508
ASSET_005,FIN,-0.379385120962541,1,0.0144391009834059,3.59936219617569
ASSET_006,HEALTH,0.483056413390521,1,0.0353769658114633,3.44474946249644
ASSET_007,HEALTH,-0.152226725188295,0,0.0408312247305552,8.46342450820733
ASSET_008,HEALTH,-0.488969651911241,1,0.0101152500666246,1.60848790784953
ASSET_009,CONS,0.0234416739964659,0,0.0443582674168252,1.90873390227145
ASSET_010,ENERGY,-0.0307328590870916,0,0.0174409200002266,5.69190600771643
ASSET_011,HEALTH,0.233328639254312,1,0.0320827745861351,2.0385210199474
ASSET_012,CONS,0.111857169037121,1,0.026631900027498,2.21162754617051
ASSET_013,FIN,0.800446385974764,1,0.0387861526644212,2.05388185553237
ASSET_014,ENERGY,0.549199470665861,1,0.0248464645914297,3.168911935214
ASSET_015,FIN,0.114185582386791,1,0.0447905270672684,15.3520114827631
ASSET_016,ENERGY,-0.253593290073697,1,0.0392198544383516,19.2153215100734
ASSET_017,CONS,0.794312863215306,1,0.0359085268425169,50.3501144987508
ASSET_018,TECH,0.592766062249123,1,0.0418496238225142,48.5387213865978
ASSET_019,ENERGY,1.52800504563602,0,0.0401609213971353,16.2210975016821
ASSET_020,FIN,0.331743020115105,1,0.0114375469968621,20.6492226535174
ASSET_021,CONS,1.02088555800704,1,0.0257893741537931,8.42414587001908
ASSET_022,ENERGY,0.430408150074319,0,0.0472322918926596,12.4269170772471
ASSET_023,TECH,0.242961735815407,1,0.0150289707596891,51.6041991567481
ASSET_024,TECH,-0.554978641108304,1,0.0394838620172821,10.7103746808795
ASSET_025,HEALTH,0.560751231179323,1,0.0489836724534132,23.4117627701279
ASSET_026,HEALTH,-0.221709961679642,1,0.0120879451617989,2.90272047307677
ASSET_027,FIN,-0.0566627026985831,1,0.0372877552250644,3.79529171348453
ASSET_028,ENERGY,0.178231598763251,1,0.0287261656520412,10.0952962525214
ASSET_029,ENERGY,0.0623495448768036,1,0.0331670102149889,8.58427181438863
ASSET_030,HEALTH,-0.581533397293256,1,0.013413653459373,3.97516323469457
ASSET_031,ENERGY,-0.197815496068507,1,0.0117202780746776,82.0540013802851
ASSET_032,ENERGY,0.665292200385551,0,0.0366746664220369,8.78103343404612
ASSET_033,TECH,0.538883704836671,0,0.0429323771928287,4.74587086215612
ASSET_034,HEALTH,0.549220129605481,1,0.0412806133973187,8.59876705565941
ASSET_035,CONS,0.286801031832402,1,0.0317522291146495,7.57934438077172
ASSET_036,HEALTH,0.531142256809531,1,0.0139946728454471,8.91559996916261
ASSET_037,CONS,0.320561081293565,1,0.0375217777534406,1.50122731663953
ASSET_038,TECH,0.115897455950458,0,0.0196755553421658,26.8951694616703
ASSET_039,FIN,0.782384322752262,0,0.0464427481106954,28.4693884467462
ASSET_040,ENERGY,0.0771261562864799,1,0.0435306143818282,32.1470526666002
ASSET_041,TECH,-0.184833886833054,0,0.0383753186834956,10.2310964955587
ASSET_042,ENERGY,0.806086171066563,0,0.0479538382332452,14.3318030900177
ASSET_043,FIN,0.816748402271529,0,0.0112568728604509,3.10735863555152
ASSET_044,FIN,-0.587077643472027,1,0.0394480170024305,16.9946625752608
ASSET_045,TECH,0.518976471612445,1,0.0232097111734562,9.50471229706773
ASSET_046,FIN,-0.822211510909958,0,0.0462426354274546,4.66269396119402
ASSET_047,CONS,0.734740443098465,1,0.0206670078664791,17.5445733565038
ASSET_048,FIN,-0.266881420456025,1,0.0389942599726007,18.2369368755861
ASSET_049,ENERGY,0.592104093826969,1,0.0451058807860313,7.85074817111407
